Company,Profit,Transformed MSE,Weight
APA,-0.011543750183952529,0.3149938662116005,0.0015297635517808824
TFC,0.015569221287237317,0.40132859276078525,0.0019490470112219355
INFO,0.0009409320809728932,0.3547483295149358,0.0017228305778581453
DAL,0.07302033721431596,0.584267832334004,0.0028374890125072117
CSX,0.007973453395666671,0.3771416996145782,0.001831583684043904
NI,0.006983118427893892,0.3739882164662774,0.0018162688347757433
K,-0.009538342222351698,0.3213796047931625,0.0015607758068789303
AFL,0.01723487936435051,0.4066324796757556,0.0019748052679869695
ZION,0.038968510113696966,0.4758379914972688,0.002310900922293374
PFG,0.00321201410683475,0.3619800431573117,0.0017579512996679842
NCLH,0.02123505968038803,0.4193700903098207,0.0020366653058318963
RJF,0.013006488180123666,0.39316818650445506,0.0019094161059957598
UNH,0.016427722683799453,0.40406228365826,0.001962323144967292
HBAN,0.015051504158464213,0.39968004727435824,0.0019410408718360504
PRU,0.01975142347430971,0.4146458081968716,0.0020137218921342306
CARR,0.022887143876606925,0.42463075447082377,0.002062213651863042
QCOM,-0.0015222131590475114,0.34690503683216756,0.001684739730514507
TRMB,0.03805015323084936,0.4729137052219906,0.0022966991646125165
BLL,0.0,0.35175215795924814,0.0017082797102622202
LUV,0.013667729124708683,0.39527374900963946,0.001919641742498357
GIS,0.0,0.35175215795924814,0.0017082797102622202
LYB,0.014426051682306129,0.39768844452598384,0.0019313686793875691
PHM,0.017112949311275594,0.4062442227928265,0.001972919703561934
ROST,0.05647916158128576,0.53159644304725,0.002581691105958735
OKE,0.03356293949910235,0.45862525399451165,0.0022273074899044356
BK,0.010487339337113313,0.38514656383837814,0.00187045920144302
SYF,0.11014979817232495,0.7024976568345962,0.0034116705939763545
J,0.0,0.35175215795924814,0.0017082797102622202
LW,0.012035196269309382,0.3900753413838569,0.0018943957445084155
MS,0.11525623887826679,0.718757887199076,0.0034906381880260504
CPB,0.018693370609610318,0.4112766937180153,0.0019973598321566264
HWM,0.010626816000684445,0.3855906936757219,0.001872616112133371
MHK,0.0014492771795611595,0.3563670320288182,0.0017306917852419423
CHD,-7.933214358519762e-05,0.3514995438579031,0.0017070528932147926
JKHY,0.012047973495096526,0.3901160273815375,0.0018945933355188952
AMGN,0.019823274861826258,0.41487460163251594,0.0020148330244332334
TEL,0.020481301194637314,0.4169699279808571,0.0020250089491752887
STT,0.0336946483138551,0.4590446489884495,0.002229344276154408
ADP,0.010647914338146361,0.3856578762491021,0.00187294238341385
RSG,0.0023779343333053633,0.35932411703558864,0.0017450528295291869
IFF,-0.004390166832745076,0.3377727292045247,0.0016403887991124526
ANTM,0.012747736534564383,0.3923442542184919,0.0019054146897289578
GPS,0.1799247851526825,0.9246792951446272,0.004490692786533358
YUM,2.5499392274208367e-05,0.35183335463153115,0.001708674040828965
GOOG,0.00639937790486135,0.37212943538485865,0.0018072416889989295
SNPS,0.09038156233673833,0.6395504716823275,0.003105968420498295
SIVB,0.0,0.35175215795924814,0.0017082797102622202
PFE,0.019672298753947836,0.41439385458481615,0.002012498282744316
LYV,-0.007035693888433929,0.32934868556275476,0.0015994775424052051
CL,0.0016677622323342362,0.357062745049661,0.0017340705063408153
VFC,0.006411418511555367,0.3721677757964775,0.0018074278887016736
AVGO,0.015445520866232344,0.40093469856763747,0.0019471340692742633
REGN,0.020887053883611364,0.4182619496792679,0.0020312836354925493
DUK,0.020927748763318942,0.41839153272092156,0.002031912953823204
UA,-0.030593818812927765,0.254333511533272,0.0012351673403020495
VZ,-0.0037219269776816943,0.3399005780541968,0.0016507226689527644
JCI,0.017318585102768288,0.4068990204363128,0.0019760997196709602
WM,0.011291343011906627,0.3877067198685491,0.001882892565396833
DOV,0.04804886905747195,0.5047522072339055,0.002451322429207806
CDW,0.021544966519560386,0.4203569139873397,0.002041457801990818
JNJ,0.0012537650737292829,0.35574447082367744,0.001727668324970061
CRM,0.09801718566770465,0.6638642748747233,0.0032240480846398023
VIAC,-0.08979174540693012,0.06583197417125092,0.0003197121132552749
IEX,0.03499007499995404,0.4631696232218237,0.002249377159048744
LRCX,0.006629217210890539,0.3728613032901294,0.0018107959958166037
BWA,-0.03811479000618419,0.23038479045546406,0.0011188606926291497
WAT,0.010232718855785345,0.38433578624977516,0.0018665216707902405
PGR,0.0027273275126852093,0.360436675451842,0.0017504559547864517
BLK,0.004769651455655135,0.3669399640835776,0.001782039090150926
PPL,0.04103391686145749,0.4824147817605649,0.002342841017360937
UAA,0.006183359112760028,0.3714415755770405,0.0018039011069254096
NWL,0.09004142350572561,0.6384673815092181,0.003100708407374732
EFX,0.0,0.35175215795924814,0.0017082797102622202
NUE,-0.000476934397377004,0.3502334752570147,0.0017009042477729404
PSA,0.0,0.35175215795924814,0.0017082797102622202
BMY,0.023590296568841908,0.4268697748404995,0.0020730874247222378
KEYS,-0.010219385256335815,0.31921098730430764,0.001550243944680775
RHI,-0.019712953769538202,0.2889810052297051,0.0014034324359206297
WYNN,0.09637456054541407,0.6586337308560986,0.003198646016682382
WAB,0.015813925303674328,0.40210779375566796,0.0019528311905642793
CTSH,0.0020992787500901614,0.3584368054547148,0.001740743612553571
PKG,0.02604847468091792,0.4346972509008341,0.0021111014588478852
BRK-B,0.005233891703655081,0.3684182253249465,0.0017892182463492801
L,0.0466342057601562,0.5002475527343901,0.0024294456341146116
AEP,0.058314641025482096,0.5374410851983223,0.002610075533387257
CI,0.008513918132057227,0.3788626793779117,0.001839941599539095
TRV,0.014690699278641212,0.39853115104694803,0.0019354612724787408
MU,0.09450281072229133,0.6526735944203154,0.0031697006927852572
