Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.500000,102.500000,101.139999,101.320000,81.648949,26500
2010-09-10,101.680000,101.860001,101.300003,101.779999,82.019653,8600
2010-09-13,102.959999,103.139999,102.500000,103.059998,83.051132,33750
2010-09-14,102.839996,103.480003,102.379997,103.040001,83.035057,59400
2010-09-15,102.620003,103.379997,102.400002,103.300003,83.244545,9250
2010-09-16,103.019997,103.320000,102.699997,103.260002,83.212311,59550
2010-09-17,103.879997,103.879997,103.019997,103.360001,83.292931,49350
2010-09-20,103.739998,105.040001,103.459999,105.040001,84.646729,19000
2010-09-21,105.019997,105.440002,104.279999,104.720001,84.388847,19250
2010-09-22,104.559998,105.040001,103.959999,104.160004,83.937584,18100
2010-09-23,103.320000,104.339996,103.120003,103.300003,83.244545,33350
2010-09-24,103.940002,104.900002,103.860001,104.839996,84.944405,24100
2010-09-27,104.980003,104.980003,104.339996,104.339996,84.539291,15000
2010-09-28,104.320000,105.019997,103.419998,105.019997,85.090233,49850
2010-09-29,104.580002,104.919998,104.220001,104.519997,84.685135,15900
2010-09-30,105.199997,105.680000,103.959999,104.360001,84.555511,44750
2010-10-01,105.080002,105.160004,104.160004,104.720001,84.847168,17100
2010-10-04,105.260002,105.260002,103.500000,103.839996,84.134171,88700
2010-10-05,105.019997,106.199997,104.820000,106.120003,85.981499,19850
2010-10-06,106.120003,106.279999,105.620003,105.940002,85.835648,276900
2010-10-07,106.500000,106.500000,105.320000,105.879997,85.787025,49900
2010-10-08,106.019997,106.739998,105.660004,106.680000,86.435226,61550
2010-10-11,106.720001,106.839996,106.279999,106.500000,86.289406,14200
2010-10-12,106.379997,107.239998,105.739998,107.120003,86.791740,42050
2010-10-13,107.580002,108.279999,107.239998,107.760002,87.310265,74450
2010-10-14,107.699997,107.820000,106.800003,107.360001,86.986176,19100
2010-10-15,108.040001,108.080002,106.720001,107.559998,87.148232,54950
2010-10-18,107.620003,108.440002,107.440002,108.339996,87.780205,22850
2010-10-19,107.139999,107.680000,106.019997,106.620003,86.386620,38550
2010-10-20,106.940002,108.160004,106.940002,107.760002,87.310265,22800
2010-10-21,108.260002,108.760002,107.300003,107.919998,87.439903,29400
2010-10-22,108.160004,108.199997,107.940002,108.180000,87.650581,24850
2010-10-25,109.019997,109.279999,108.459999,108.500000,87.909851,29600
2010-10-26,107.919998,108.559998,107.879997,108.480003,87.893631,15000
2010-10-27,107.739998,108.220001,107.220001,108.139999,87.618172,17150
2010-10-28,108.760002,108.820000,107.760002,108.220001,87.682991,19250
2010-10-29,108.099998,108.419998,108.000000,108.300003,87.747818,13400
2010-11-01,108.919998,109.419998,107.760002,108.360001,87.796440,51550
2010-11-02,109.220001,109.419998,108.860001,109.199997,88.477013,26100
2010-11-03,109.419998,109.660004,108.320000,109.660004,88.849724,31850
2010-11-04,110.900002,111.800003,110.739998,111.720001,90.518784,49000
2010-11-05,111.900002,112.300003,111.680000,112.160004,90.875275,48300
2010-11-08,111.879997,112.080002,111.500000,112.019997,90.761871,43400
2010-11-09,112.180000,112.300003,110.800003,111.139999,90.048866,35700
2010-11-10,111.160004,111.599998,110.320000,111.559998,90.389153,28200
2010-11-11,110.680000,111.279999,110.419998,111.199997,90.097450,24000
2010-11-12,110.400002,110.860001,109.379997,109.820000,88.979347,39450
2010-11-15,110.300003,110.519997,109.639999,109.720001,88.898323,202750
2010-11-16,109.019997,109.019997,107.480003,107.959999,87.472336,32850
2010-11-17,108.059998,108.459999,107.779999,108.040001,87.537148,42450
2010-11-18,109.080002,109.919998,109.080002,109.639999,88.833504,26100
2010-11-19,109.500000,109.940002,109.040001,109.900002,89.044189,20250
2010-11-22,109.419998,109.800003,108.580002,109.800003,88.963165,25350
2010-11-23,108.559998,108.639999,107.919998,108.260002,87.715378,142400
2010-11-24,108.940002,109.779999,108.940002,109.660004,88.849724,30100
2010-11-26,108.959999,109.400002,108.820000,109.040001,88.347351,32650
2010-11-29,108.360001,109.160004,107.660004,108.940002,88.266350,46000
2010-11-30,107.959999,108.860001,107.820000,108.180000,87.650581,91950
2010-12-01,109.919998,110.739998,109.879997,110.620003,89.627541,33350
2010-12-02,110.739998,112.099998,110.739998,112.059998,90.794266,60650
2010-12-03,111.660004,112.459999,111.639999,112.339996,91.021118,184100
2010-12-06,112.160004,112.419998,112.000000,112.199997,90.907692,64150
2010-12-07,113.339996,113.379997,112.199997,112.239998,90.940086,109000
2010-12-08,112.400002,112.739998,111.959999,112.699997,91.312805,69050
2010-12-09,113.339996,113.339996,112.660004,113.120003,91.653114,54850
2010-12-10,113.480003,113.879997,113.220001,113.800003,92.204063,73950
2010-12-13,114.320000,114.440002,113.820000,113.860001,92.252663,77050
2010-12-14,114.120003,114.360001,113.660004,113.919998,92.301270,59650
2010-12-15,113.739998,114.199997,113.239998,113.419998,91.896172,43600
2010-12-16,113.559998,114.160004,113.120003,114.080002,92.430923,60600
2010-12-17,114.000000,114.339996,113.820000,114.239998,92.560577,59150
2010-12-20,114.580002,114.739998,113.959999,114.480003,92.755013,72600
2010-12-21,114.860001,115.300003,114.779999,115.180000,93.322174,76200
2010-12-22,115.339996,115.599998,115.239998,115.599998,93.662437,108250
2010-12-23,115.440002,115.519997,115.160004,115.419998,93.516647,57400
2010-12-27,114.459999,115.019997,114.400002,114.980003,93.586632,71800
2010-12-28,115.220001,115.220001,114.800003,115.099998,93.684311,56650
2010-12-29,115.320000,115.440002,115.199997,115.199997,93.765671,53600
2010-12-30,115.120003,115.260002,114.879997,115.019997,93.619164,78900
2010-12-31,114.860001,115.139999,114.680000,115.139999,93.716850,145750
2011-01-03,115.940002,116.660004,115.900002,116.220001,94.595924,119200
2011-01-04,116.559998,116.559998,115.500000,116.120003,94.514519,108350
2011-01-05,115.860001,116.800003,115.720001,116.739998,95.019142,717750
2011-01-06,116.839996,116.919998,116.220001,116.540001,94.856369,72450
2011-01-07,116.699997,116.860001,115.480003,116.300003,94.661034,82250
2011-01-10,115.879997,116.279999,115.480003,116.199997,94.579613,124500
2011-01-11,116.660004,116.839996,116.120003,116.580002,94.888916,131700
2011-01-12,117.320000,117.720001,117.099998,117.620003,95.735428,107350
2011-01-13,117.680000,117.739998,117.160004,117.459999,95.605202,96050
2011-01-14,117.300003,118.339996,117.260002,118.300003,96.288933,193400
2011-01-18,118.260002,118.580002,118.040001,118.500000,96.451721,194900
2011-01-19,118.440002,118.500000,117.019997,117.320000,95.491241,111950
2011-01-20,117.080002,117.379997,116.320000,117.180000,95.377304,103450
2011-01-21,117.900002,118.139999,117.320000,117.440002,95.588913,117950
2011-01-24,117.400002,118.199997,117.379997,118.160004,96.174942,455900
2011-01-25,117.800003,118.199997,117.199997,118.120003,96.142410,226550
2011-01-26,118.440002,118.940002,118.239998,118.739998,96.647026,109250
2011-01-27,118.680000,119.099998,118.480003,118.900002,96.777275,297250
2011-01-28,119.080002,119.220001,116.680000,116.800003,95.067993,891400
2011-01-31,117.220001,117.800003,116.940002,117.699997,95.800529,140550
2011-02-01,118.480003,119.779999,118.379997,119.540001,97.298195,147400
2011-02-02,119.239998,119.660004,119.239998,119.339996,97.135414,91000
2011-02-03,119.199997,119.800003,118.500000,119.639999,97.379585,72250
2011-02-04,119.699997,120.019997,119.139999,119.959999,97.640022,97050
2011-02-07,120.300003,121.120003,120.260002,120.720001,98.258652,118050
2011-02-08,120.879997,121.300003,120.599998,121.279999,98.714447,153500
2011-02-09,120.980003,121.279999,120.459999,120.980003,98.470291,139650
2011-02-10,120.400002,121.160004,120.160004,121.019997,98.502823,125200
2011-02-11,120.599998,121.919998,120.559998,121.779999,99.121376,149200
2011-02-14,121.720001,122.139999,121.580002,122.080002,99.365601,92200
2011-02-15,121.720001,121.860001,121.379997,121.639999,99.007469,82150
2011-02-16,122.099998,122.599998,121.980003,122.419998,99.642334,94300
